% Output from Matlab function sfrmat3.m
% Analysis:  Spatial Frequency Response
% 25-Jun-2018 17:07:50
% Image/data evaluated:  D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\middle.JPG
% This output file: D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\re.txt
% Selected region: (2821, 2905), to (3031, 3301)
% OECF applied: none
%Sampling intervals	0.992	0.248
%Sampling Efficiency r,g,b,Lum	100	100	100	100
%  
% Frequency	    SFR-r	    SFR-g	    SFR-b	    Lum
 148.488	   0.0263	   0.0547	   0.0389	   0.0337
 149.295	   0.0390	   0.0531	   0.0481	   0.0360
 150.102	   0.0409	   0.0622	   0.0419	   0.0406
 150.909	   0.0253	   0.0713	   0.0319	   0.0510
 151.716	   0.0369	   0.0526	   0.0294	   0.0315
 152.523	   0.0323	   0.0591	   0.0300	   0.0325
 153.330	   0.0150	   0.0755	   0.0248	   0.0382
 154.137	   0.0397	   0.0594	   0.0112	   0.0417
 154.944	   0.0079	   0.0657	   0.0208	   0.0605
 155.751	   0.0516	   0.0825	   0.0341	   0.0747
 156.558	   0.0618	   0.0761	   0.0329	   0.0889
 157.365	   0.0434	   0.0577	   0.0291	   0.0570
 158.172	   0.0285	   0.0163	   0.0201	   0.0018
 158.979	   0.0260	   0.0335	   0.0323	   0.0242
 159.786	   0.0673	   0.0422	   0.0552	   0.0080
 160.593	   0.0957	   0.0246	   0.0438	   0.0110
 161.400	   0.1170	   0.0058	   0.0286	   0.0137
 162.207	   0.0891	   0.0270	   0.0196	   0.0297
 163.014	   0.0497	   0.0644	   0.0277	   0.0512
 163.821	   0.0522	   0.0384	   0.0075	   0.0323
 164.628	   0.0594	   0.0541	   0.0172	   0.0374
 165.435	   0.0362	   0.0477	   0.0198	   0.0264
 166.242	   0.0555	   0.0025	   0.0078	   0.0437
 167.049	   0.0511	   0.0321	   0.0383	   0.0585
 167.856	   0.0253	   0.0734	   0.0580	   0.0663
 168.663	   0.0404	   0.0473	   0.0449	   0.0178
 169.470	   0.1175	   0.0203	   0.0455	   0.0963
 170.277	   0.3116	   0.0311	   0.0638	   0.1819
